	room_size	reverberation_time_s	lows_cutoff_frequency_hz	lows_q_factor	lows_gain_db_s	highs_cutoff_frequency_hz	highs_q_factor	highs_gain_db_s	fade_in_time_s	dry_wet
81	9.147261	1.9638169	3938.5762	0.40086606	21.361141	5250.534	0.2805628	20.20109	1.8385935	0.21198228
82	9.098138	1.9496148	3931.4062	0.40123668	21.125675	5307.0806	0.28119603	19.685001	1.846963	0.20988199
83	9.139874	1.9409508	3910.134	0.39991412	21.213213	5234.697	0.2810189	19.51584	1.8298104	0.2099539
84	8.97837	1.9332051	3885.989	0.40041137	21.04315	5206.7744	0.27861118	19.536577	1.8415173	0.20373458
85	8.934561	1.9052827	3838.745	0.40018785	20.828484	5226.838	0.2797927	19.517761	1.8297447	0.20448752
86	8.952015	1.9247121	3809.4307	0.39903066	20.639038	5162.861	0.27621996	19.503931	1.7945708	0.20246136
87	9.00962	1.8927743	3776.2524	0.3967795	20.375504	5199.889	0.27675015	19.324911	1.7768054	0.20128605
88	8.922068	1.8820807	3720.1794	0.39723012	20.304546	5152.465	0.2771098	19.285557	1.7545122	0.19911806
89	8.864418	1.8521476	3704.644	0.39429495	20.281544	5148.4365	0.27409735	18.925665	1.7647455	0.19759275
90	8.806572	1.8657777	3689.8176	0.39570805	20.463234	5109.525	0.27438104	18.969559	1.7403395	0.19641821
91	8.915975	1.864023	3677.5056	0.39614454	20.326996	5070.672	0.27598673	18.724371	1.7232863	0.1943388
92	8.8125	1.8521934	3632.965	0.39595208	19.995726	5030.038	0.27194244	18.864176	1.7154714	0.19578993
93	8.797689	1.8339033	3585.044	0.39702907	19.95392	5044.7744	0.27204576	18.690018	1.715905	0.19481984
94	8.785441	1.8242792	3559.1755	0.3939338	19.713985	4991.4053	0.2732995	18.519554	1.7064613	0.19145618
95	8.699923	1.817442	3549.6987	0.3935048	19.925995	5026.881	0.26926297	18.209743	1.6884547	0.19026741
96	8.714385	1.7814653	3504.6453	0.39293477	19.653814	4995.989	0.27170646	18.307878	1.6788203	0.19215302
97	8.726751	1.7924147	3464.6372	0.39315492	19.508999	4953.228	0.26699394	18.216429	1.654011	0.19038567
98	8.658608	1.7768736	3473.302	0.3903873	19.300072	4955.3667	0.26786253	18.129463	1.6430953	0.18795408
99	8.570335	1.7865449	3435.1938	0.39074945	19.394861	4924.962	0.26845172	17.952581	1.6378492	0.18554951
100	8.68815	1.7779666	3370.1816	0.3922802	19.234331	4878.5776	0.26881176	17.770445	1.6303902	0.18781719
101	8.59384	1.7342035	3370.8296	0.38999918	19.210926	4830.3716	0.26385108	17.849459	1.6270165	0.18308187
102	8.578457	1.7508745	3347.4604	0.39260224	18.821726	4885.15	0.2653965	17.693651	1.606094	0.18247896
103	8.613976	1.736444	3318.0557	0.3895852	18.702648	4814.732	0.26222742	17.470894	1.59694	0.18251452
104	8.540086	1.7428547	3288.5105	0.3927173	18.944342	4846.1997	0.26650026	17.53969	1.5700018	0.18125963
105	8.559023	1.723542	3271.9114	0.393568	18.722044	4827.055	0.26116183	17.367872	1.579967	0.18137202
106	8.512557	1.7134075	3243.6482	0.39242846	18.875906	4768.7236	0.26244003	17.217438	1.5555692	0.17825463
107	8.534629	1.7039342	3169.2212	0.39421502	18.542	4721.1797	0.26054385	16.964588	1.5383234	0.17676683
108	8.509131	1.702236	3190.2163	0.39074206	18.400124	4772.8047	0.26298273	17.19664	1.5355362	0.17603299
109	8.410014	1.6959217	3180.68	0.39105654	18.369112	4745.9414	0.26006615	17.15444	1.5137897	0.17442498
110	8.456544	1.6887603	3165.5159	0.3877353	18.228413	4743.884	0.2608696	17.011292	1.5062696	0.17720386
111	8.445645	1.68833	3135.5852	0.38775748	18.260965	4716.0957	0.25740078	16.666304	1.500516	0.17385387
112	8.432768	1.6597605	3080.9092	0.38656735	17.947866	4716.7183	0.2590551	16.741327	1.4760859	0.17341378
113	8.412434	1.6498326	3078.3325	0.3898892	18.029299	4725.057	0.2570342	16.515219	1.4973854	0.17037016
114	8.401639	1.6453753	3060.6682	0.38910964	17.748753	4693.4673	0.25820723	16.569344	1.4740813	0.17355728
115	8.43236	1.6529541	2982.9253	0.38833204	17.657616	4631.0303	0.25646994	16.55541	1.4610503	0.16907828
116	8.352576	1.6269928	3036.225	0.38554677	17.500278	4626.158	0.25371248	16.526312	1.467693	0.16894399
117	8.302101	1.6157335	2969.8098	0.3871683	17.731712	4651.494	0.25441912	16.302021	1.4640229	0.16947888
118	8.344646	1.6090859	2957.3916	0.38824132	17.608845	4586.032	0.25528428	16.244165	1.4211082	0.16877382
119	8.264512	1.6091585	2971.3923	0.3901675	17.433144	4622.4546	0.2519703	15.99159	1.4304909	0.16806735
120	8.267006	1.5922542	2916.444	0.38830408	17.403593	4549.7695	0.25121874	16.186338	1.4052392	0.16670774
121	8.297917	1.5949173	2886.736	0.38597533	17.274242	4551.3887	0.2541353	16.187857	1.4158993	0.16539057
122	8.246489	1.5919833	2895.227	0.38768265	17.197166	4568.1265	0.24991745	15.98928	1.3971627	0.16373327
123	8.179673	1.5887619	2845.5618	0.384989	17.139431	4548.2466	0.25087115	15.777016	1.3902181	0.16261835
