	room_size	reverberation_time_s	lows_cutoff_frequency_hz	lows_q_factor	lows_gain_db_s	highs_cutoff_frequency_hz	highs_q_factor	highs_gain_db_s	fade_in_time_s	dry_wet
119	4.2512193	0.64544934	70.68486	0.17259993	3.6294	2157.124	0.108901046	3.9194002	0.38023183	0.0647737
120	4.283935	0.6523282	70.57055	0.17307907	3.627011	2154.755	0.10991118	3.95862	0.3809507	0.06518979
121	4.2564797	0.6477443	70.44363	0.17346396	3.637005	2177.0483	0.11029833	3.9573855	0.38026863	0.064925276
122	4.3285627	0.65225136	73.21096	0.17479067	3.6230881	2192.8655	0.110327184	3.9527392	0.37979168	0.065014
123	4.290892	0.6486531	68.490715	0.17390616	3.610587	2161.5032	0.1098876	3.9386492	0.38001412	0.064965464
124	4.260078	0.64542794	70.750244	0.17187594	3.6014237	2167.4072	0.10902122	3.946725	0.37783572	0.06502742
125	4.2609525	0.6442569	69.07491	0.17291711	3.6065717	2163.3782	0.1092335	3.94903	0.3779741	0.064858474
126	4.2313194	0.64178157	72.63709	0.17364973	3.6198902	2166.3691	0.10975984	3.9355016	0.3780142	0.06502263
127	4.231576	0.6479407	70.85802	0.17031279	3.5946844	2142.4497	0.10853746	3.9044487	0.37903413	0.06456863
128	4.2985578	0.6498983	72.36421	0.1734876	3.6119468	2175.0227	0.108627915	3.9662561	0.38207963	0.06462297
129	4.269412	0.64376724	69.94867	0.17130665	3.626469	2157.1936	0.10945117	3.9447052	0.37858948	0.06475025
130	4.279824	0.6440361	68.06969	0.17183423	3.6077328	2154.965	0.10835043	3.9379592	0.3770023	0.06472118
131	4.2525134	0.6440558	72.04912	0.17198308	3.6276731	2145.8289	0.11048065	3.93594	0.37808594	0.06465901
132	4.2488117	0.64563644	70.403534	0.17277348	3.6053152	2157.1921	0.10911785	3.9242885	0.37649524	0.06481713
133	4.2944355	0.643781	72.89388	0.17351094	3.6530828	2179.6963	0.10944964	3.9353313	0.37991634	0.06503124
134	4.2305465	0.63596433	68.86114	0.17015238	3.6029463	2138.0615	0.10921772	3.894237	0.3772832	0.064560495
135	4.2456064	0.64060754	68.80283	0.17231971	3.6387672	2154.7905	0.108892076	3.9382312	0.37661138	0.06449907
136	4.279019	0.6438877	70.03981	0.17332199	3.6126928	2156.3499	0.10960965	3.9324749	0.37993246	0.0644356
137	4.263353	0.644915	70.10614	0.17326233	3.5980527	2148.5925	0.10867525	3.9226139	0.37754297	0.06507291
138	4.3219724	0.6481969	67.874664	0.17434888	3.6164126	2189.251	0.11025489	3.9633086	0.377469	0.064640775
139	4.277756	0.6466078	71.51151	0.17410836	3.635261	2170.6904	0.109811015	3.9356315	0.37964198	0.06496339
140	4.249675	0.64643276	67.71605	0.17233355	3.6097925	2140.5325	0.10869656	3.9381337	0.37963384	0.06483936
141	4.2684712	0.6463945	67.947945	0.17286511	3.630196	2153.2307	0.10940319	3.9146688	0.37860084	0.06469597
142	4.231023	0.6434404	73.11178	0.17187576	3.6051013	2158.2896	0.1081621	3.916824	0.3761525	0.06445697
143	4.2229323	0.64231944	68.78276	0.1748513	3.662521	2150.7634	0.11018703	3.9157786	0.3785482	0.06473458
144	4.2254267	0.6363945	68.15282	0.17294542	3.6337123	2149.2021	0.10866369	3.9240372	0.37862015	0.064396024
145	4.2021036	0.6400962	69.85672	0.1696765	3.6297982	2145.5872	0.10731203	3.9095705	0.3755531	0.06483271
146	4.2137523	0.6404224	70.32787	0.17300986	3.6305401	2166.8064	0.1085302	3.9391584	0.37525168	0.06430386
147	4.258755	0.6420815	69.61519	0.1710484	3.6124244	2151.497	0.10926335	3.9133713	0.37940997	0.06455335
148	4.238581	0.6437997	68.23142	0.16992882	3.6042032	2138.7947	0.10813005	3.9102747	0.37779278	0.064683594
149	4.23198	0.6402259	71.90217	0.17016077	3.6170487	2141.2192	0.10866314	3.91743	0.3757906	0.06438797
150	4.2171626	0.6395285	64.63631	0.17106606	3.6188624	2133.5352	0.10711194	3.9068472	0.37503693	0.06433192
151	4.2259583	0.6452288	68.6606	0.17182186	3.6405602	2137.4468	0.108035356	3.9160306	0.37883985	0.06444146
152	4.1996827	0.64295703	69.51437	0.17057827	3.6169882	2131.8486	0.10865292	3.9187496	0.37722078	0.0643234
153	4.216167	0.63988775	70.55213	0.17109221	3.6117992	2127.5974	0.10814818	3.916014	0.3759675	0.06458021
154	4.2100883	0.6404612	66.098915	0.17181784	3.636147	2136.6318	0.10731616	3.924293	0.3784448	0.06418411
155	4.228616	0.64234704	72.17106	0.17112045	3.592974	2124.1367	0.10833928	3.8960865	0.37738627	0.06412796
156	4.2658744	0.6441887	68.361374	0.17243819	3.6209223	2155.722	0.10827039	3.9236805	0.37761265	0.06419334
157	4.229421	0.63854176	69.57952	0.16913734	3.6023955	2134.2922	0.108244844	3.9198735	0.3753316	0.064210646
158	4.201788	0.6391961	69.61487	0.17134611	3.6141095	2132.7473	0.10845356	3.9173179	0.37844044	0.06415029
159	4.2435017	0.6447911	70.50397	0.17444724	3.6070914	2156.851	0.1089421	3.9439273	0.37520576	0.06453746
160	4.211708	0.6369765	69.42347	0.16922374	3.6333	2128.119	0.10736311	3.9302943	0.37655967	0.064353645
161	4.2523413	0.6436566	68.755066	0.17026396	3.6077976	2139.8835	0.10801215	3.9201522	0.3743472	0.06479403
162	4.198836	0.6354156	68.264854	0.17077698	3.6084888	2130.0388	0.10785898	3.8912516	0.37643796	0.064228974
163	4.207372	0.63602674	69.28125	0.17068414	3.589105	2137.4841	0.1078366	3.9181657	0.37464342	0.06447817
164	4.186055	0.6389306	68.024376	0.17158107	3.6240168	2123.8115	0.108028725	3.919124	0.3759169	0.06467272
165	4.1865005	0.63922656	69.59497	0.1690025	3.61148	2136.8167	0.106571704	3.908765	0.37698206	0.06427508
166	4.21413	0.6410721	69.04818	0.16917364	3.6100338	2130.8953	0.1078302	3.905056	0.37623683	0.064201236
167	4.218706	0.6412462	66.61668	0.17044881	3.6186063	2143.712	0.10871061	3.9274967	0.374857	0.06450319
168	4.187916	0.6336773	68.70058	0.16718197	3.5887995	2110.204	0.106041886	3.8990188	0.3765876	0.064101204
169	4.227191	0.64049417	69.47119	0.1727079	3.599896	2149.4797	0.10791226	3.9433157	0.378125	0.064452305
170	4.1944814	0.63619536	67.7437	0.16862391	3.6181574	2118.7861	0.10788504	3.8943539	0.3780613	0.06429072
171	4.218194	0.63998306	68.99306	0.1709395	3.6198933	2128.9426	0.10831454	3.9187517	0.3748771	0.0644978
172	4.1975713	0.6384925	68.14088	0.16968442	3.6220412	2131.6162	0.107773535	3.903016	0.37387452	0.0644174
